Start	Ende	Type	Property	Counter:long
258	17	SEVEN	Property	415
298	17	SIX	Property	416
17	299	FIVE	Property	417
258	17	FOUR	Property	418
512	17	THREE	Property	419
17	676	TWO	Property	420
17	165	ONE	Property	421
318	18	FIVE	Property	422
18	930	FOUR	Property	423
510	18	THREE	Property	424
18	896	TWO	Property	425
551	18	ONE	Property	426
722	18	TEN	Property	427
265	18	NINE	Property	428
632	18	EIGHT	Property	429
18	99	SEVEN	Property	430
18	42	SIX	Property	431
193	18	FIVE	Property	432
975	18	FOUR	Property	433
18	195	THREE	Property	434
18	121	TWO	Property	435
18	777	ONE	Property	436
18	784	TEN	Property	437
683	18	NINE	Property	438
18	190	EIGHT	Property	439
500	18	SEVEN	Property	440
18	902	SIX	Property	441
506	18	FIVE	Property	442
18	559	FOUR	Property	443
96	18	THREE	Property	444
18	125	TWO	Property	445
18	240	ONE	Property	446
18	760	TEN	Property	447
18	745	NINE	Property	448
18	276	EIGHT	Property	449
18	383	SEVEN	Property	450
18	412	SIX	Property	451
194	18	FIVE	Property	452
249	18	FOUR	Property	453
308	18	THREE	Property	454
18	467	TWO	Property	455
934	18	ONE	Property	456
491	18	TEN	Property	457
18	574	NINE	Property	458
932	18	EIGHT	Property	459
18	752	SEVEN	Property	460
427	18	SIX	Property	461
18	477	FIVE	Property	462
18	262	FOUR	Property	463
906	18	THREE	Property	464
18	532	TWO	Property	465
738	18	ONE	Property	466
189	19	FOUR	Property	467
985	19	THREE	Property	468
19	387	TWO	Property	469
806	19	ONE	Property	470
20	434	SEVEN	Property	471
20	475	SIX	Property	472
20	165	FIVE	Property	473
20	438	FOUR	Property	474
988	20	THREE	Property	475
744	20	TWO	Property	476
20	958	ONE	Property	477
20	576	TEN	Property	478
20	702	NINE	Property	479
20	77	EIGHT	Property	480
586	20	SEVEN	Property	481
20	80	SIX	Property	482
984	20	FIVE	Property	483
20	901	FOUR	Property	484
20	698	THREE	Property	485
20	795	TWO	Property	486
20	580	ONE	Property	487
20	766	TEN	Property	488
672	20	NINE	Property	489
576	20	EIGHT	Property	490
20	122	SEVEN	Property	491
20	361	SIX	Property	492
20	650	FIVE	Property	493
20	52	FOUR	Property	494
131	20	THREE	Property	495
953	20	TWO	Property	496
110	20	ONE	Property	497
20	408	TEN	Property	498
20	316	NINE	Property	499
452	20	EIGHT	Property	500
20	605	SEVEN	Property	501
20	552	SIX	Property	502
20	342	FIVE	Property	503
20	959	FOUR	Property	504
20	702	THREE	Property	505
36	20	TWO	Property	506
20	413	ONE	Property	507
46	21	FIVE	Property	508
21	722	FOUR	Property	509
21	197	THREE	Property	510
21	357	TWO	Property	511
744	21	ONE	Property	512
439	21	TEN	Property	513
389	21	NINE	Property	514
251	21	EIGHT	Property	515
714	21	SEVEN	Property	516
21	174	SIX	Property	517
21	344	FIVE	Property	518
21	97	FOUR	Property	519
21	829	THREE	Property	520
21	202	TWO	Property	521
21	794	ONE	Property	522
580	22	EIGHT	Property	523
643	22	SEVEN	Property	524
22	786	SIX	Property	525
27	22	FIVE	Property	526
789	22	FOUR	Property	527
22	188	THREE	Property	528
22	991	TWO	Property	529
22	467	ONE	Property	530
22	867	TEN	Property	531
621	22	NINE	Property	532
22	809	EIGHT	Property	533
571	22	SEVEN	Property	534
22	468	SIX	Property	535
22	592	FIVE	Property	536
22	603	FOUR	Property	537
904	22	THREE	Property	538
805	22	TWO	Property	539
22	82	ONE	Property	540
804	22	TEN	Property	541
22	598	NINE	Property	542
22	495	EIGHT	Property	543
774	22	SEVEN	Property	544
798	22	SIX	Property	545
38	22	FIVE	Property	546
22	190	FOUR	Property	547
349	22	THREE	Property	548
920	22	TWO	Property	549
22	104	ONE	Property	550
897	22	TEN	Property	551
868	22	NINE	Property	552
559	22	EIGHT	Property	553
22	445	SEVEN	Property	554
22	349	SIX	Property	555
22	535	FIVE	Property	556
22	288	FOUR	Property	557
812	22	THREE	Property	558
950	22	TWO	Property	559
22	415	ONE	Property	560
914	22	TEN	Property	561
33	22	NINE	Property	562
669	22	EIGHT	Property	563
356	22	SEVEN	Property	564
22	633	SIX	Property	565
22	521	FIVE	Property	566
22	603	FOUR	Property	567
183	22	THREE	Property	568
22	807	TWO	Property	569
22	729	ONE	Property	570
23	187	TEN	Property	571
209	23	NINE	Property	572
23	684	EIGHT	Property	573
23	761	SEVEN	Property	574
23	783	SIX	Property	575
391	23	FIVE	Property	576
23	35	FOUR	Property	577
23	769	THREE	Property	578
23	815	TWO	Property	579
23	155	ONE	Property	580
901	23	TEN	Property	581
61	23	NINE	Property	582
760	23	EIGHT	Property	583
23	245	SEVEN	Property	584
23	648	SIX	Property	585
23	926	FIVE	Property	586
858	23	FOUR	Property	587
867	23	THREE	Property	588
557	23	TWO	Property	589
880	23	ONE	Property	590
853	24	SEVEN	Property	591
272	24	SIX	Property	592
997	24	FIVE	Property	593
24	399	FOUR	Property	594
24	77	THREE	Property	595
433	24	TWO	Property	596
24	764	ONE	Property	597
344	24	TEN	Property	598
24	738	NINE	Property	599
101	24	EIGHT	Property	600
43	24	SEVEN	Property	601
24	952	SIX	Property	602
24	197	FIVE	Property	603
866	24	FOUR	Property	604
24	64	THREE	Property	605
24	440	TWO	Property	606
24	386	ONE	Property	607
518	24	TEN	Property	608
660	24	NINE	Property	609
24	366	EIGHT	Property	610
24	892	SEVEN	Property	611
24	364	SIX	Property	612
24	343	FIVE	Property	613
24	839	FOUR	Property	614
24	355	THREE	Property	615
438	24	TWO	Property	616
24	294	ONE	Property	617
25	279	THREE	Property	618
492	25	TWO	Property	619
828	25	ONE	Property	620
25	612	TEN	Property	621
488	25	NINE	Property	622
650	25	EIGHT	Property	623
25	758	SEVEN	Property	624
388	25	SIX	Property	625
25	401	FIVE	Property	626
42	25	FOUR	Property	627
25	499	THREE	Property	628
557	25	TWO	Property	629
485	25	ONE	Property	630
254	25	TEN	Property	631
623	25	NINE	Property	632
613	25	EIGHT	Property	633
614	25	SEVEN	Property	634
717	25	SIX	Property	635
919	25	FIVE	Property	636
25	74	FOUR	Property	637
25	189	THREE	Property	638
25	715	TWO	Property	639
598	25	ONE	Property	640
976	25	TEN	Property	641
25	99	NINE	Property	642
271	25	EIGHT	Property	643
645	25	SEVEN	Property	644
25	814	SIX	Property	645
978	25	FIVE	Property	646
735	25	FOUR	Property	647
25	349	THREE	Property	648
25	846	TWO	Property	649
498	25	ONE	Property	650
873	25	TEN	Property	651
25	626	NINE	Property	652
25	862	EIGHT	Property	653
349	25	SEVEN	Property	654
104	25	SIX	Property	655
50	25	FIVE	Property	656
146	25	FOUR	Property	657
25	129	THREE	Property	658
25	468	TWO	Property	659
695	25	ONE	Property	660
26	152	EIGHT	Property	661
760	26	SEVEN	Property	662
453	26	SIX	Property	663
26	812	FIVE	Property	664
26	739	FOUR	Property	665
26	203	THREE	Property	666
453	26	TWO	Property	667
26	779	ONE	Property	668
26	581	TEN	Property	669
745	26	NINE	Property	670
126	26	EIGHT	Property	671
823	26	SEVEN	Property	672
898	26	SIX	Property	673
26	825	FIVE	Property	674
26	518	FOUR	Property	675
370	26	THREE	Property	676
26	943	TWO	Property	677
738	26	ONE	Property	678
27	350	FOUR	Property	679
27	514	THREE	Property	680
160	27	TWO	Property	681
27	158	ONE	Property	682
27	147	TEN	Property	683
866	27	NINE	Property	684
726	27	EIGHT	Property	685
951	27	SEVEN	Property	686
27	998	SIX	Property	687
27	216	FIVE	Property	688
27	900	FOUR	Property	689
27	464	THREE	Property	690
825	27	TWO	Property	691
27	698	ONE	Property	692
27	221	TEN	Property	693
27	873	NINE	Property	694
458	27	EIGHT	Property	695
27	213	SEVEN	Property	696
604	27	SIX	Property	697
261	27	FIVE	Property	698
339	27	FOUR	Property	699
27	574	THREE	Property	700
310	27	TWO	Property	701
27	216	ONE	Property	702
70	27	TEN	Property	703
27	644	NINE	Property	704
796	27	EIGHT	Property	705
27	929	SEVEN	Property	706
27	728	SIX	Property	707
791	27	FIVE	Property	708
27	840	FOUR	Property	709
103	27	THREE	Property	710
27	480	TWO	Property	711
381	27	ONE	Property	712
28	768	ONE	Property	713
28	819	TEN	Property	714
28	302	NINE	Property	715
28	649	EIGHT	Property	716
28	586	SEVEN	Property	717
377	28	SIX	Property	718
602	28	FIVE	Property	719
438	28	FOUR	Property	720
28	28	THREE	Property	721
45	28	TWO	Property	722
903	28	ONE	Property	723
131	28	TEN	Property	724
393	28	NINE	Property	725
838	28	EIGHT	Property	726
28	652	SEVEN	Property	727
28	525	SIX	Property	728
28	991	FIVE	Property	729
562	28	FOUR	Property	730
28	705	THREE	Property	731
28	905	TWO	Property	732
984	28	ONE	Property	733
29	185	TEN	Property	734
431	29	NINE	Property	735
29	643	EIGHT	Property	736
179	29	SEVEN	Property	737
29	96	SIX	Property	738
29	625	FIVE	Property	739
29	276	FOUR	Property	740
29	762	THREE	Property	741
230	29	TWO	Property	742
328	29	ONE	Property	743
176	30	TWO	Property	744
312	30	ONE	Property	745
975	30	TEN	Property	746
495	30	NINE	Property	747
526	30	EIGHT	Property	748
30	146	SEVEN	Property	749
566	30	SIX	Property	750
30	626	FIVE	Property	751
508	30	FOUR	Property	752
30	603	THREE	Property	753
59	30	TWO	Property	754
30	430	ONE	Property	755
898	31	FIVE	Property	756
530	31	FOUR	Property	757
611	31	THREE	Property	758
216	31	TWO	Property	759
31	853	ONE	Property	760
32	347	FIVE	Property	761
32	539	FOUR	Property	762
32	350	THREE	Property	763
109	32	TWO	Property	764
162	32	ONE	Property	765
32	959	TEN	Property	766
32	570	NINE	Property	767
32	865	EIGHT	Property	768
858	32	SEVEN	Property	769
827	32	SIX	Property	770
32	795	FIVE	Property	771
630	32	FOUR	Property	772
32	630	THREE	Property	773
32	495	TWO	Property	774
32	258	ONE	Property	775
33	455	TEN	Property	776
33	419	NINE	Property	777
701	33	EIGHT	Property	778
101	33	SEVEN	Property	779
968	33	SIX	Property	780
33	472	FIVE	Property	781
33	388	FOUR	Property	782
650	33	THREE	Property	783
33	875	TWO	Property	784
357	33	ONE	Property	785
48	33	TEN	Property	786
674	33	NINE	Property	787
678	33	EIGHT	Property	788
33	376	SEVEN	Property	789
33	134	SIX	Property	790
33	347	FIVE	Property	791
669	33	FOUR	Property	792
33	259	THREE	Property	793
33	518	TWO	Property	794
385	33	ONE	Property	795
33	285	TEN	Property	796
79	33	NINE	Property	797
501	33	EIGHT	Property	798
33	136	SEVEN	Property	799
857	33	SIX	Property	800
628	33	FIVE	Property	801
40	33	FOUR	Property	802
33	176	THREE	Property	803
33	335	TWO	Property	804
33	513	ONE	Property	805
98	33	TEN	Property	806
45	33	NINE	Property	807
33	782	EIGHT	Property	808
33	320	SEVEN	Property	809
381	33	SIX	Property	810
33	324	FIVE	Property	811
358	33	FOUR	Property	812
926	33	THREE	Property	813
33	171	TWO	Property	814
634	33	ONE	Property	815
973	33	TEN	Property	816
33	963	NINE	Property	817
33	506	EIGHT	Property	818
382	33	SEVEN	Property	819
171	33	SIX	Property	820
747	33	FIVE	Property	821
33	209	FOUR	Property	822
33	284	THREE	Property	823
50	33	TWO	Property	824
966	33	ONE	Property	825
562	34	EIGHT	Property	826
34	278	SEVEN	Property	827
34	136	SIX	Property	828
34	80	FIVE	Property	829
34	771	FOUR	Property	830
996	34	THREE	Property	831
916	34	TWO	Property	832
34	863	ONE	Property	833
706	34	TEN	Property	834
34	301	NINE	Property	835
34	630	EIGHT	Property	836
34	504	SEVEN	Property	837
34	990	SIX	Property	838
34	58	FIVE	Property	839
222	34	FOUR	Property	840
69	34	THREE	Property	841
34	236	TWO	Property	842
947	34	ONE	Property	843
34	442	TEN	Property	844
336	34	NINE	Property	845
34	91	EIGHT	Property	846
317	34	SEVEN	Property	847
163	34	SIX	Property	848
34	902	FIVE	Property	849
821	34	FOUR	Property	850
479	34	THREE	Property	851
715	34	TWO	Property	852
34	832	ONE	Property	853
127	34	TEN	Property	854
34	430	NINE	Property	855
34	703	EIGHT	Property	856
34	754	SEVEN	Property	857
34	423	SIX	Property	858
34	934	FIVE	Property	859
729	34	FOUR	Property	860
34	713	THREE	Property	861
204	34	TWO	Property	862
799	34	ONE	Property	863
758	35	FOUR	Property	864
35	468	THREE	Property	865
222	35	TWO	Property	866
35	373	ONE	Property	867
688	35	TEN	Property	868
35	227	NINE	Property	869
849	35	EIGHT	Property	870
35	207	SEVEN	Property	871
35	751	SIX	Property	872
35	331	FIVE	Property	873
35	154	FOUR	Property	874
35	644	THREE	Property	875
217	35	TWO	Property	876
571	35	ONE	Property	877
35	871	TEN	Property	878
365	35	NINE	Property	879
35	498	EIGHT	Property	880
690	35	SEVEN	Property	881
35	864	SIX	Property	882
890	35	FIVE	Property	883
35	890	FOUR	Property	884
721	35	THREE	Property	885
552	35	TWO	Property	886
651	35	ONE	Property	887
441	35	TEN	Property	888
35	408	NINE	Property	889
35	474	EIGHT	Property	890
713	35	SEVEN	Property	891
309	35	SIX	Property	892
902	35	FIVE	Property	893
35	129	FOUR	Property	894
448	35	THREE	Property	895
35	628	TWO	Property	896
35	951	ONE	Property	897
36	107	EIGHT	Property	898
485	36	SEVEN	Property	899
36	264	SIX	Property	900
36	785	FIVE	Property	901
861	36	FOUR	Property	902
36	478	THREE	Property	903
36	767	TWO	Property	904
393	36	ONE	Property	905
36	990	TEN	Property	906
99	36	NINE	Property	907
36	254	EIGHT	Property	908
857	36	SEVEN	Property	909
684	36	SIX	Property	910
36	706	FIVE	Property	911
36	433	FOUR	Property	912
36	79	THREE	Property	913
746	36	TWO	Property	914
36	594	ONE	Property	915
307	36	TEN	Property	916
36	924	NINE	Property	917
218	36	EIGHT	Property	918
36	182	SEVEN	Property	919
36	151	SIX	Property	920
423	36	FIVE	Property	921
947	36	FOUR	Property	922
36	785	THREE	Property	923
36	973	TWO	Property	924
949	36	ONE	Property	925
37	638	TWO	Property	926
37	234	ONE	Property	927
470	37	TEN	Property	928
37	933	NINE	Property	929
303	37	EIGHT	Property	930
899	37	SEVEN	Property	931
37	211	SIX	Property	932
890	37	FIVE	Property	933
835	37	FOUR	Property	934
37	694	THREE	Property	935
109	37	TWO	Property	936
37	700	ONE	Property	937
37	478	TEN	Property	938
523	37	NINE	Property	939
37	958	EIGHT	Property	940
298	37	SEVEN	Property	941
201	37	SIX	Property	942
948	37	FIVE	Property	943
37	582	FOUR	Property	944
37	122	THREE	Property	945
252	37	TWO	Property	946
514	37	ONE	Property	947
925	37	TEN	Property	948
779	37	NINE	Property	949
996	37	EIGHT	Property	950
217	37	SEVEN	Property	951
540	37	SIX	Property	952
263	37	FIVE	Property	953
581	37	FOUR	Property	954
37	441	THREE	Property	955
37	763	TWO	Property	956
37	55	ONE	Property	957
777	37	TEN	Property	958
717	37	NINE	Property	959
37	810	EIGHT	Property	960
753	37	SEVEN	Property	961
190	37	SIX	Property	962
931	37	FIVE	Property	963
37	515	FOUR	Property	964
336	37	THREE	Property	965
810	37	TWO	Property	966
128	37	ONE	Property	967
38	361	SIX	Property	968
464	38	FIVE	Property	969
38	547	FOUR	Property	970
38	205	THREE	Property	971
38	782	TWO	Property	972
667	38	ONE	Property	973
211	39	SIX	Property	974
293	39	FIVE	Property	975
383	39	FOUR	Property	976
39	73	THREE	Property	977
145	39	TWO	Property	978
39	233	ONE	Property	979
39	475	TEN	Property	980
39	488	NINE	Property	981
742	39	EIGHT	Property	982
322	39	SEVEN	Property	983
489	39	SIX	Property	984
39	263	FIVE	Property	985
39	101	FOUR	Property	986
39	693	THREE	Property	987
39	653	TWO	Property	988
63	39	ONE	Property	989
39	345	TEN	Property	990
43	39	NINE	Property	991
39	77	EIGHT	Property	992
809	39	SEVEN	Property	993
39	703	SIX	Property	994
174	39	FIVE	Property	995
39	966	FOUR	Property	996
39	430	THREE	Property	997
643	39	TWO	Property	998
39	98	ONE	Property	999
40	999	THREE	Property	1000
260	40	TWO	Property	1001
516	40	ONE	Property	1002
207	40	TEN	Property	1003
483	40	NINE	Property	1004
268	40	EIGHT	Property	1005
40	502	SEVEN	Property	1006
40	205	SIX	Property	1007
481	40	FIVE	Property	1008
640	40	FOUR	Property	1009
822	40	THREE	Property	1010
40	182	TWO	Property	1011
777	40	ONE	Property	1012
79	40	TEN	Property	1013
40	240	NINE	Property	1014
68	40	EIGHT	Property	1015
601	40	SEVEN	Property	1016
40	721	SIX	Property	1017
456	40	FIVE	Property	1018
573	40	FOUR	Property	1019
235	40	THREE	Property	1020
135	40	TWO	Property	1021
347	40	ONE	Property	1022
40	687	TEN	Property	1023
40	433	NINE	Property	1024
40	286	EIGHT	Property	1025
451	40	SEVEN	Property	1026
